"","sample_name","new_phenotype"
"541","BAN-P2-48380",1
"542","BAN-P2-48381",1
"543","BAN-P2-48382",1
"544","BAN-P2-48520",1
"545","BAN-P2-48521",1
"546","BAN-P2-48641",1
"547","BAN-P2-48759",1
"548","BAN-P2-48787",1
"549","BAN-P2-49003",1
"550","BAN-P2-49095",1
"551","BAN-P2-49172",1
"552","BAN-P2-49173",1
"553","BAN-P2-49212",1
"554","BAN-P2-49213",1
"555","BAN-P2-49214",1
"556","BAN-P2-49215",1
"557","BAN-P2-49216",1
"558","BAN-P2-49403",1
"559","BAN-P2-49404",1
"560","BAN-P2-49405",1
"561","BAN-P2-49411",1
"562","BAN-P2-49412",1
"563","BAN-P2-49539",1
"564","BAN-P2-49540",1
"565","BAN-P2-49636",1
"566","BAN-P2-49637",1
"567","BAN-P2-49692",1
"568","BAN-P2-49693",1
"569","BAN-P2-49956",1
"570","BAN-P2-50107",1
"571","BAN-P2-50263",1
"572","BAN-P2-50408",1
"573","BAN-P2-50409",1
"574","BAN-P2-50613",1
"575","BAN-P2-50698",1
"576","BAN-P2-50699",1
"577","BAN-P2-50700",1
"578","BAN-P2-50701",1
"579","BAN-P2-50822",1
"580","BAN-P2-50883",1
"581","BAN-P2-50884",1
"582","BAN-P2-51013",1
"583","BAN-P2-51226",1
"584","BAN-P2-51259",1
"585","BAN-P2-51260",1
"586","BAN-P2-51276",1
"587","BAN-P2-51277",1
"588","BAN-P2-51278",1
"589","BAN-P2-51279",1
"590","BAN-P2-51280",1
"591","BAN-P2-51281",1
"592","BAN-P2-51282",1
"593","BAN-P2-51286",1
"594","BAN-P2-51287",1
"595","BAN-P2-51365",1
"596","BAN-P2-51635",1
"597","BAN-P2-51814",1
"598","BAN-P2-52021",1
"599","BAN-P2-52022",1
"600","BAN-P2-52023",1
"601","BAN-P2-52095",1
"602","BAN-P2-52096",1
"603","BAN-P2-52129",1
"604","BAN_C3_10569",0
"605","BAN_C3_16658",0
"606","BAN_C3_22750",0
"607","BAN_C3_26126",0
"608","BAN_C3_28834",0
"609","BAN_C3_29819",0
"610","BAN_C3_31870",0
"611","BAN_C3_40024",0
"612","BAN_C3_40472",0
"613","BAN_C3_40497",0
"614","BAN_C3_40530",0
"615","BAN_C3_40579",0
"616","BAN_C3_40625",0
"617","BAN_C3_40639",0
"618","BAN_C3_40640",0
"619","BAN_C3_40658",0
"620","BAN_C3_40723",0
"621","BAN_C3_40790",0
"622","BAN_C3_40834",0
"623","BAN_C3_40872",0
"624","BAN_C3_41228",0
"625","BAN_C3_41618",0
"626","BAN_C3_41794",0
"627","BAN_C3_41971",0
"628","BAN_C3_42064",0
"629","BAN_C3_42101",0
"630","BAN_C3_42238",0
"631","BAN_C3_42506",0
"632","BAN_C3_42934",0
"633","BAN_C3_43794",0
"634","BAN_C3_43833",0
"635","BAN_C3_44392",0
"636","BAN_C3_44518",0
"637","BAN_C3_44522",0
"638","BAN_C3_44708",0
"639","BAN_C3_44912",0
"640","BAN_C3_44940",0
"641","BAN_C3_45595",0
"642","BAN_C3_45630",0
"643","BAN_C3_45803",0
"644","BAN_C3_50267",0
"645","BAN_C3_50446",0
"646","BAN_C3_52234",0
"647","BAN_C3_52992",0
"648","BAN_C3_53972",0
"649","BAN_C3_55449",0
"650","BAN_C3_55604",0
"651","BAN_C3_57048",0
"652","BAN_C3_57278",0
"653","BAN_C3_576",0
"654","BAN_C3_57683",0
"655","BAN_C3_57688",0
"656","BAN_C3_57697",0
"657","BAN_C3_58141",0
"658","BAN_C3_58735",0
"659","BAN_C3_60068",0
"660","BAN_C3_60388",0
"661","BAN_C3_60655",0
"662","BAN_C3_61368",0
"663","BAN_C3_61516",0
"664","BAN_C3_61973",0
"665","BAN_C3_62072",0
"666","BAN_C3_62613",0
"667","BAN_C3_63811",0
"668","BAN_C3_63839",0
"669","BAN_C3_64287",0
"670","BAN_C3_64306",0
"671","BAN_C3_64467",0
"672","BAN_C3_66196",0
"673","BAN_C3_66389",0
"674","BAN_C3_66433",0
"675","BAN_C3_66598",0
"676","BAN_C3_67311",0
"677","BAN_C3_67416",0
"678","BAN_C4_20684",0
"679","BAN_C4_2520",0
"680","BAN_C4_40307",0
"681","BAN_C4_40356",0
"682","BAN_C4_41313",0
"683","BAN_C4_41464",0
"684","BAN_C4_41940",0
"685","BAN_C4_42280",0
"686","BAN_C4_42442",0
"687","BAN_C4_42800",0
"688","BAN_C4_43704",0
"689","BAN_C4_45832",0
"690","BAN_C4_46186",0
"691","BAN_C4_46446",0
"692","BAN_C4_48553",0
"693","BAN_C4_48745",0
"694","BAN_C4_50049",0
"695","BAN_C4_50388",0
"696","BAN_C4_50949",0
"697","BAN_C4_51402",0
"698","BAN_C4_51485",0
"699","BAN_C4_51861",0
"700","BAN_C4_52020",0
"701","BAN_C4_52730",0
"702","BAN_C4_53537",0
"703","BAN_C4_54048",0
"704","BAN_C4_54092",0
"705","BAN_C4_54103",0
"706","BAN_C4_55196",0
"707","BAN_C4_55256",0
"708","BAN_C4_55509",0
"709","BAN_C4_56173",0
"710","BAN_C4_57049",0
"711","BAN_C4_57491",0
"712","BAN_C4_57590",0
"713","BAN_C4_57854",0
"714","BAN_C4_57912",0
"715","BAN_C4_59096",0
"716","BAN_C4_59336",0
"717","BAN_C4_59539",0
